reports, acn, state, facility_website, main_activities, facility_id, postcode, abn, jurisdiction_code, jurisdiction_facility_id, primary_anzsic_class_code, first_report_year, facility_name, suburb, primary_anzsic_class_name, longitude, latitude, street_address, registered_business_name
3,"000029729","WA",null,"Import, handling and distribution of LPG","619314","6230","95000029729","WA","WA1463","3321","2014/2015","South West Western Australia AU164","Bunbury","Petroleum Product Wholesaling",115.670685,-33.353932,"19 Craigie Street","BOC LIMITED"
6,"000029729","SA","http://www.boc.com.au","Stores gas, fills cylinders and distributes product.","518802","5031","95000029729","SA","SA0299","1811","2000/2001","Torrensville","Torrensville","Industrial Gas Manufacturing",138.559236,-34.915845,"CNR JERVOIS ST & ASHWIN PDE","BOC LIMITED"
7,"000029729","QLD","http://www.boc.com.au","Stores gas, fills cylinders and distributes product.","513232","4814","95000029729","QLD","Q070BOC003","1811","2000/2001","Townsville","Garbutt","Industrial Gas Manufacturing",146.767778,-19.264167,"384 INGHAM RD","BOC LIMITED"
6,"000029729","TAS",null,"Liquid Natural Gas Production","576904","7303","95000029729","TAS","Tas 497","1811","2011/2012","Westbury LNG Plant","Westbury","Industrial Gas Manufacturing",146.8295,-41.51,"22 Gatenby Drive","BOC LIMITED"
11,"090660183","QLD",null,"Pig farming","512668","4626","82090660183","QLD","Q064BPA002","0192","2003/2004","Burnett Pork (Unit 5)","Mundubbera","Pig Farming",150.890278,-25.683611,"Hawkwood Road","BURNETT PORK ALLIANCE PTY LTD"
15,"000029729","SA","http://www.boc.com.au","Refines atmospheric gases to produce stable products","519866","5600","95000029729","SA","SA0380","1811","2002/2003","Whyalla","Whyalla","Industrial Gas Manufacturing",137.591626,-33.011986,"BOC Limited OneSteel Whyalla Steelworks, Return Road","BOC LIMITED"
5,"004859223","VIC","http://www.hoddlescreekestate.com.au","Vineyard and winery","603264","3139","62004859223","VIC","00030579","1214","2012/2013","BOCCACCIO PTY LTD","Hoddles Creek","Wine and Other Alcoholic Beverage Manufacturing",145.592065,-37.815226,"505 GEMBROOK RD","BOCCACCIO PTY LTD"
5,"081609289","WA","http://www.dbp.net.au","Meter station","546490","6208","78081609289","WA","WA0853","2700","2004/2005","Oakley Road Meter Station","Oakley","Gas Supply",115.936111,-32.65,"OAKLEY ROAD","DBNGP (WA) NOMINEES P/L"
9,"103165466","NSW","http://www.boeing.com","Manufacture and assembly of aerostructure components","491232","2200","15103165466","NSW","580","2394","2000/2001","Hawker De Havilland Bankstown","Bankstown","Aircraft Manufacturing and Repair Services",150.99103,-33.927909,"361 Milperra Road","BOEING AEROSTRUCTURES AUSTRALIA"
7,"000028080","TAS",null,"Quarrying","559070","7250","15000028080","TAS","Tas 467","0911","2010/2011","Launceston Quarry","Mowbray","Gravel and Sand Quarrying",147.14,-41.4,"Remount Road","BORAL CONSTRUCTION MATERIALS GROUP LTD"
17,"103165466","VIC","http://www.boeing.com.au","Aerospace component manufacturer and supplier. Operations include composite part manufacturing.","530940","3207","15103165466","VIC","00006133","2394","2000/2001","BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED","Port Melbourne","Aircraft Manufacturing and Repair Services",144.902516,-37.829911,"226 LORIMER ST","BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED"
1,"006483665","VIC","http://www.bonlac.com.au","Dairy plant.","527382","3260",null,"VIC","00004373","1131","1999/2000","Bonlac Foods Camperdown","Camperdown","Milk and Cream Processing",143.14936,-38.232742,"MANIFOLD ST","BONLAC FOODS LTD"
1,"006483665","VIC","http://www.bonlac.com.au","Dairy plant","527162","3818",null,"VIC","00004353","1131","1999/2000","Bonlac Foods Drouin","Drouin","Milk and Cream Processing",145.860012,-38.147702,"31-35 LARDNER RD","BONLAC FOODS LTD"
1,"006483665","VIC","http://www.bonlac.com.au","Dairy plant.","528896","3962",null,"VIC","00004676","1131","1999/2000","Bonlac Foods Toora","Toora","Milk and Cream Processing",146.323028,-38.673993,"JETTY RD","BONLAC FOODS LTD"
1,"006483665","VIC","http://www.bonlac.com.au","Beverages plant.","531724","3192",null,"VIC","00006918","1211","1999/2000","SPRING VALLEY BEVERAGES","Cheltenham","Soft Drink, Cordial and Syrup Manufacturing",145.029662,-37.961875,"114-118 TALINGA RD","BONLAC FOODS LTD"
19,"155003973","VIC",null,"Petroleum product storage and wholesaling","530272","3350","42155003973","VIC","00004818","3321","1998/1999","Ballarat Depot","Ballarat","Petroleum Product Wholesaling",143.812431,-37.568774,"MOBIL DEPOT CNR WILTSHIRE LA & LA TROBE ST WEST","BONNEY ENERGY PTY LTD"
16,"155003973","VIC",null,"Petroleum product wholesaling","529958","3214","42155003973","VIC","00004783","3321","1998/1999","Caltex Corio Depot","Corio","Petroleum Product Wholesaling",144.36535,-38.078437,"262 PRINCES HWY","BONNEY ENERGY PTY LTD"
19,"155003973","VIC","http://www.caltex.com.au","Petroleum product wholesaling","528912","3400","42155003973","VIC","00004682","3321","1998/1999","Caltex South East Horsham","Horsham","Petroleum Product Wholesaling",142.210408,-36.700418,"CALTEX DEPOT 39 MILL ST","BONNEY ENERGY PTY LTD"
18,"155003973","VIC",null,"Petroleum product wholesaling","529940","3250","42155003973","VIC","00004782","3321","1998/1999","Colac Depot","Colac","Petroleum Product Wholesaling",143.587307,-38.341037,"153-155 WILSON ST","BONNEY ENERGY PTY LTD"
19,"155003973","VIC",null,"Petroleum product storage and wholesaling","530314","3300","42155003973","VIC","00004821","3321","1998/1999","Hamilton Depot","Hamilton","Petroleum Product Wholesaling",142.011665,-37.752372,"MOBIL DEPOT 39 PORT FAIRY RD","BONNEY ENERGY PTY LTD"
19,"155003973","VIC",null,"Petroleum product wholesaling","529606","3280","42155003973","VIC","00004748","3321","1998/1999","Warrnambool Depot","Dennington","Petroleum Product Wholesaling",142.460578,-38.353283,"SHELL DEPOT LINDSAY ST","BONNEY ENERGY PTY LTD"
4,"000102376","NSW","http://boral.com.au","Bitumen pre-mix or ashpalt hot mix production","605062","2294","53000102376","NSW","1384","1709","2013/2014","Boral Asphalt Carrington","Carrington","Other Petroleum and Coal Product Manufacturing",151.762735,-32.904708,"24 Gross Street","BORAL ASPHALT"
9,"004231976","QLD","http://www.boral.com.au","Manufacture of plasterboard and plaster","513538","4013","84004231976","QLD","Q082BOR001","2032","2000/2001","Boral Plasterboard Northgate","Northgate","Plaster Product Manufacturing",153.071054,-27.392803,"733 Nudgee RD","BORAL AUST GYPSUM LTD"
2,"008674244","WA",null,"Raw materials (sand, aggregates, lime) mixed and cured to produce masonry products.","540310","6164","42008674244","WA","WA0222","2034","1999/2000","Boral Besser Masonry Ltd","Jandakot","Concrete Product Manufacturing",115.887201,-32.132406,"Armadale Road","BORAL BESSER MASONRY LTD"
1,null,"WA",null,"Production of masonry products using sand, aggregates, cement and lime. Mixing followed by curing in steam and oven autoclaves..","540316","6107",null,"WA","WA0223","2034","1999/2000","Boral Besser Masonry","Cannington","Concrete Product Manufacturing",115.951002,-32.022892,"68 Bickley Road","BORAL BESSER MASONRY LTD WA"
4,"004812702","VIC",null,"Clay brick manufacturing","528632","3844","86004812702","VIC","00004612","2021","1998/1999","BORAL BRICKS (VIC) LTD","Traralgon","Clay Brick Manufacturing",146.532976,-38.206386,"(BORAL BRICKS) JANETTE ST","BORAL BRICKS (VIC) LTD"
2,"082448342","NSW","http://www.boral.com.au/index.htm","Brick manufacturing: crushing; extruding; drying; firing; packaging & despatching.","484706","2170","66082448342","NSW","146","2021","1998/1999","Boral Bricks - Moorebank","Moorebank","Clay Brick Manufacturing",150.953567,-33.934796,"Nuwarra Road","BORAL BRICKS PTY LTD"
13,"082448342","NSW","http://www.boral.com.au","Clay brick manufacturing","484668","2555","66082448342","NSW","144","2021","1998/1999","Boral Bricks Badgerys Creek","Badgery'S Creek","Clay Brick Manufacturing",150.754984,-33.896619,"235 Martin Road","BORAL BRICKS PTY LTD"
11,"082448342","NSW","http://www.boral.com.au","Manufacturing and sale of clay bricks","484712","2440","66082448342","NSW","147","2021","1998/1999","Boral Bricks South Kempsey","South Kempsey","Clay Brick Manufacturing",152.825222,-31.10161,"South Street","BORAL BRICKS PTY LTD"
19,"008674244","WA","http://www.boral.com.au","Clay & Concrete brick and paver manufacturing","538674","6056","42008674244","WA","WA0119","2021","1998/1999","Boral Bricks Middle Swan","Middle Swan","Clay Brick Manufacturing",116.007778,-31.871667,"102 Great Northern Hwy","BORAL BRICKS WESTERN AUSTRALIA PTY LTD"
18,"008528523","VIC","http://www.boral.com.au/Cement/cement.asp","Cement Manufacturing","525556","3216","62008528523","VIC","00004145","2031","1999/2000","BORAL CEMENT LIMITED","Waurn Ponds","Cement and Lime Manufacturing",144.282217,-38.229897,"170 RESERVOIR RD","BORAL CEMENT LIMITED"
18,"008528523","NSW",null,"Clinker and Cement manufacture.","489190","2577","62008528523","NSW","446","2031","1999/2000","Berrima Cement Works","New Berrima","Cement and Lime Manufacturing",150.336196,-34.506507,"Taylor Avenue","BORAL CEMENT LIMITED"
18,"008528523","NSW",null,"Manufacture and sale of cement; manufacture of lime","489332","2571","62008528523","NSW","454","2031","1999/2000","Maldon Cement Works","Maldon","Cement and Lime Manufacturing",150.632356,-34.194523,"40 Maldon Bridge Road","BORAL CEMENT LIMITED"
17,"008528523","NSW","http://www.boral.com.au","Lime extraction and crushing. Lime manufacture.","491202","2579","62008528523","NSW","579","2031","2000/2001","Marulan South Mine Cement Works","Marulan South","Cement and Lime Manufacturing",150.025994,-34.78489,"Hume Street","BORAL CEMENT LIMITED"
7,"000028080","TAS",null,"Quarrying","559044","7030","15000028080","TAS","Tas 466","0911","2010/2011","Bridgewater Quarry","Bridgewater","Gravel and Sand Quarrying",147.25,-42.72,"Midland Highway","BORAL CONSTRUCTION MATERIALS GROUP LTD"
7,"000028080","TAS",null,"Quarrying","559072","7270","15000028080","TAS","Tas 468","0911","2010/2011","Flowery Gully Quarry","Flowery Gully","Gravel and Sand Quarrying",146.83,-41.21,"Flowery Gully Road","BORAL CONSTRUCTION MATERIALS GROUP LTD"
19,"168794821","NSW","http://www.pghbricks.com.au","Clay brick manufacturing","484686","2556","68168794821","NSW","145","2021","1998/1999","PGH Bricks & Pavers Bringelly","Bringelly","Clay Brick Manufacturing",150.72356,-33.93977,"Lot 2, Greendale Road","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","QLD","http://www.pghbricks.com.au","Clay Brick Manufacturing","498262","4076","68168794821","QLD","Q001BOR001","2021","1998/1999","PGH Bricks & Pavers Darra","Darra","Clay Brick Manufacturing",152.959728,-27.569042,"Harcourt Road","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","VIC","http://www.pghbricks.com.au","Clay brick manufacturing and clay mining","524650","3152","68168794821","VIC","00004058","2021","1998/1999","PGH Bricks & Pavers Scoresby","Wantirna","Clay Brick Manufacturing",145.21586,-37.887346,"191 GEORGE ST","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","VIC","http://www.pghbricks.com.au","Clay brick manufacturing","524400","3074","68168794821","VIC","00004039","2021","1998/1999","PGH Bricks & Pavers Thomastown","Thomastown","Clay Brick Manufacturing",144.97665,-37.686296,"2 TRAWALLA AV","BORAL CSR BRICKS PTY LIMITED"
17,"168794821","NSW","http://www.pghbricks.com.au","Clav brick manufacturing","491414","2642","68168794821","NSW","593","2021","2000/2001","PGH Bricks and Pavers Albury","Jindera","Clay Brick Manufacturing",146.8908,-35.981962,"Hueske Road","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","NSW","http://www.pghbricks.com.au","Manufacture of clay bricks and pavers","484890","2178","68168794821","NSW","156","2021","1998/1999","PGH Bricks and Pavers Cecil Park","Cecil Park","Clay Brick Manufacturing",150.833517,-33.869624,"69-77 Cecil Rd","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","NSW","http://www.pghbricks.com.au","Manufacture of clay bricks and pavers","484850","2175","68168794821","NSW","154","2021","1998/1999","PGH Bricks and Pavers Horsley Park","Horsley Park","Clay Brick Manufacturing",150.826612,-33.822164,"Old Wallgrove Road","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","QLD","http://www.pghbricks.com.au","Manufacture of clay bricks","498342","4077","68168794821","QLD","Q001PGH003","2021","1998/1999","PGH Bricks and Pavers Oxley","Inala","Clay Brick Manufacturing",152.9698,-27.57225,"371 Boundary Road","BORAL CSR BRICKS PTY LIMITED"
19,"168794821","NSW","http://www.pghbricks.com.au","Manufacture of clay bricks and pavers","484870","2767","68168794821","NSW","155","2021","1998/1999","PGH Bricks and Pavers Schofields","Schofields","Clay Brick Manufacturing",150.852399,-33.714428,"75 Townson Road","BORAL CSR BRICKS PTY LIMITED"
6,"002944694","QLD","http://www.boral.com.au","Production of Concrete Roofing Tiles","499072","4300","34002944694","QLD","Q011BOR001","2034","1998/1999","Boral Roofing","Carole Park","Concrete Product Manufacturing",152.933167,-27.619125,"110 - 118 COBALT ST","BORAL MONTORO P/L"
18,"002944694","SA","http://www.boral.com.au","Production of masonry roofing tiles","518816","5095","34002944694","SA","SA0300","2034","1998/1999","BORAL ROOFING TILES","Pooraka","Concrete Product Manufacturing",138.631692,-34.815729,"MAIN NORTH RD","BORAL MONTORO PTY LIMITED"
19,"002944694","NSW","http://www.boral.com.au","Manufacture of terracotta roof tiles on the site. This includes quarrying, crushing clay, extrusion and pressing, drying and firing the product.","496266","2259","34002944694","NSW","99","2029","1998/1999","Boral Roofing Wyee","Bushells Ridge","Other Ceramic Product Manufacturing",151.483932,-33.208266,"288 Tooheys Road","BORAL MONTORO PTY LIMITED"
11,"000061843","NSW","http://www.boral.com.au","Construction and demolition recycling facility","483670","2164","42000061843","NSW","1046","0919","2005/2006","Boral Recycling Widemere","Wetherill Park","Other Construction Material Mining",150.912623,-33.832556,"38 Widemere Road","BORAL RECYCLING PTY LIMITED"
6,"000187002","NSW","http://www.boral.com.au","Land-based extractive activity","578472","2852","51000187002","NSW","1286","0919","2010/2011","Boral Beryl Quarry","Beryl","Other Construction Material Mining",149.452,-32.3664,"Springridge Road","BORAL RESOURCES (COUNTRY) PTY LTD"
1,"000187002","NSW",null,"Crushing, grinding and separating workds; extractive industry.","578474","2632","51000187002","NSW","1287","0919","2010/2011","Boral Bombala Quarry","Bombala","Other Construction Material Mining",149.272,-36.8724,"Hill Lake Rd","BORAL RESOURCES (COUNTRY) PTY LTD"
6,"000187002","NSW","http://www.boral.com.au","Land-based extractive activity","578476","2831","51000187002","NSW","1288","0919","2010/2011","Boral Byrock Quarry","Byrock","Other Construction Material Mining",146.307235,-30.709771,"Cobar Rd","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW",null,"Crushing, grinding and separating works; extractive industry","579756","2660","51000187002","NSW","1304","0990","2010/2011","Boral Culcairn Quarry","Culcairn","Other Non-Metallic Mineral Mining and Quarrying",146.973458,-35.722269,"Weeamera Road","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au","Land based extractive industry.","578506","2342","51000187002","NSW","1289","0919","2010/2011","Boral Currabubula Quarry","Currabubula","Other Construction Material Mining",150.76805,-31.292897,"Werris Creek Rd","BORAL RESOURCES (COUNTRY) PTY LTD"
2,"000187002","NSW","http://www.boral.com.au","Land based extractive industry.","578508","2320","51000187002","NSW","1290","0919","2010/2011","Boral Gosforth Quarry","Gosforth","Other Construction Material Mining",151.483204,-32.654588,"75 Valley Street","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au/hallquarry","Land based extractive industry","578570","2582","51000187002","NSW","1291","0919","2010/2011","Boral Hall Quarry","Hall","Other Construction Material Mining",149.026754,-35.090547,"Lot 100 Kaveneys Road","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au","Land Based Extractive Industry","578572","2443","51000187002","NSW","1292","0919","2010/2011","Boral Johns River Quarry","Johns River","Other Construction Material Mining",152.700648,-31.717106,"Bulleys Road","BORAL RESOURCES (COUNTRY) PTY LTD"
3,"000187002","NSW","http://www.boral.com.au","Land-based extractive activity","613720","2447","51000187002","NSW","1432","0919","2014/2015","Boral Macksville Quarry","Macksville","Other Construction Material Mining",152.9208,-30.746943,"Pacific Highway","BORAL RESOURCES (COUNTRY) PTY LTD"
15,"009671809","QLD","http://www.boral.com","Asphalt Manufacturing","507280","4007","46009671809","QLD","Q031BOR002","1709","1999/2000","Boral Asphalt Whinstanes","Whinstanes","Other Petroleum and Coal Product Manufacturing",153.078419,-27.438436,"CULLEN AV WEST","BORAL RESOURCES (QLD) PTY LIMITED"
7,"000187002","ACT","http://www.boral.com.au","Land based extractive industry; Crushing, Grinding and Separating.","580540","2609","51000187002","ACT","ACT041","0919","2010/2011","Boral Mugga Lane Quarry","Symonston","Other Construction Material Mining",149.136645,-35.366813,"MUGGA LANE BLOCK 2031 DP 5976","BORAL RESOURCES (COUNTRY) PTY LTD"
6,"000187002","NSW","http://www.boral.com.au","Land based extractive industry.","578574","2390","51000187002","NSW","1293","0919","2010/2011","Boral Narrabri Quarry","Eulah Creek","Other Construction Material Mining",149.992801,-30.407145,"939 Wave Hill Road","BORAL RESOURCES (COUNTRY) PTY LTD"
12,"000187002","NSW","http://www.boral.com.au","Extractive industry - crushing, grinding and separating works","483680","2324","51000187002","NSW","1048","0919","2005/2006","Boral Seaham Quarry","Seaham","Other Construction Material Mining",151.797879,-32.675622,"Italia Road","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au","Land-based extractive activity","578706","2800","51000187002","NSW","1294","0919","2010/2011","Boral Shadforth (Orange) Quarry","Shadforth","Other Construction Material Mining",149.18161,-33.383177,"Millthorpe Road","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au","Land based extractive industry","578708","2830","51000187002","NSW","1295","0919","2010/2011","Boral Talbragar Quarry","Dubbo","Other Construction Material Mining",148.628447,-32.186267,"Lot 1 Old Gilgandra Road","BORAL RESOURCES (COUNTRY) PTY LTD"
7,"000187002","NSW","http://www.boral.com.au/tevenquarry","Land based extractive industry.","578716","2478","51000187002","NSW","1296","0919","2010/2011","Boral Teven Quarry","Teven","Other Construction Material Mining",153.501215,-28.819255,"348 North Teven Road","BORAL RESOURCES (COUNTRY) PTY LTD"
5,"000187002","NT",null,"quarry rock/gravel","596826","0846","51000187002","NT","NT520","0911","2012/2013","Mt Bundey Quarry","Mt Bundy","Gravel and Sand Quarrying",131.564591,-12.858485,"Arnhem Hwy","BORAL RESOURCES (COUNTRY) PTY LTD"
18,"000756507","NSW","http://www.boral.com.au","Land based extractive industry.","489208","2529","51000756507","NSW","448","0919","1999/2000","Boral Dunmore Quarry","Dunmore","Other Construction Material Mining",150.833973,-34.609836,"Princes Highway (Tabbita Road)","BORAL RESOURCES (NSW) PTY LTD"
18,"000756507","NSW","http://www.boral.com.au","Crushing, grinding and separating works.","489226","2750","51000756507","NSW","449","0911","1999/2000","Boral Emu Plains Quarry","Emu Plains","Gravel and Sand Quarrying",150.672024,-33.742724,"Railway Street","BORAL RESOURCES (NSW) PTY LTD"
1,null,"QLD",null,"Sawmilling","508606","4741","36626016894","QLD","Q039SAW046","3331","2003/2004","Donnelly's Sawmill","Eton","Timber Wholesaling",148.965,-21.281944,"Stoney Creek Road","DONNELLY PR & GD"
15,"000756507","NSW","http://www.boral.com.au","Hard rock quarrying (extractive industries). Crushing, grinding and seperating works","494462","2250","51000756507","NSW","820","0911","2002/2003","Boral Peats Ridge Quarry","Peats Ridge","Gravel and Sand Quarrying",151.210981,-33.334506,"Bushells Road","BORAL RESOURCES (NSW) PTY LTD"
1,null,"NSW",null,"Extractive industry - friable sand quarry","483666","2577","51000756507","NSW","1045","0919","2005/2006","Boral Penrose Quarry","Paddys River","Other Construction Material Mining",150.183928,-34.633111,"Lot 5, Hume Highway","BORAL RESOURCES (NSW) PTY LTD"
6,"000756507","NSW","http://www.boral.com.au/","Land based extractive activity","586448","2579","51000756507","NSW","1329","0919","2011/2012","Boral Peppertree Quarry","Marulan South","Other Construction Material Mining",150.026636,-34.754871,"843 Marulan South Road","BORAL RESOURCES (NSW) PTY LTD"
10,"000756507","NSW","http://www.boral.com.au","Crushing, grinding and separating works. Extractive industries (hard rock).","489262","2145","51000756507","NSW","450","0919","1999/2000","Boral Prospect Quarry","Prospect","Other Construction Material Mining",150.91964,-33.802129,"Greystanes Road","BORAL RESOURCES (NSW) PTY LTD"
1,"009671809","QLD","http://www.boral.com","Hot Mix Asphalt Manufacturing","634278","4350","46009671809","QLD","Q031BOR011","1709","2016/2017","Boral Asphalt Charlton","Wellcamp","Other Petroleum and Coal Product Manufacturing",151.84277778,-27.52761944,"Witmack Road","BORAL RESOURCES (QLD) PTY LIMITED"
2,"009671809","QLD","http://www.boral.com.au","Asphalt manufacture and road construction","561080","4301","46009671809","QLD","Q031BOR007","1709","2008/2009","Boral Asphalt Queensland Redbank Plains","Redbank Plains","Other Petroleum and Coal Product Manufacturing",152.8246278,-27.6322639,"Redbank Plains Road","BORAL RESOURCES (QLD) PTY LIMITED"
16,"009671809","QLD","http://www.boral.com.au","Asphalt Manufacturing","507266","4220","46009671809","QLD","Q031BOR001","1709","1999/2000","Boral Asphalt West Burleigh","West Burleigh","Other Petroleum and Coal Product Manufacturing",153.416411,-28.113089,"BERMUDA ST","BORAL RESOURCES (QLD) PTY LIMITED"
4,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587820","4462","46009671809","QLD","Q056BOL012","0990","2011/2012","Boral Quarries Amby","Amby","Other Non-Metallic Mineral Mining and Quarrying",148.205,-25.9821,"Warrego Highway","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587854","4740","46009671809","QLD","Q056BOL013","0990","2011/2012","Boral Quarries Cedars","Mackay","Other Non-Metallic Mineral Mining and Quarrying",149.134,-21.0865,"Woodwards Rd","BORAL RESOURCES (QLD) PTY LIMITED"
8,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509656","4561","46009671809","QLD","Q056BOL009","0911","2004/2005","Boral Quarries Coolum","Yandina Creek (Coolum)","Gravel and Sand Quarrying",153.035132,-26.530175,"Toolborough Rd","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587856","4655","46009671809","QLD","Q056BOL014","0990","2011/2012","Boral Quarries Dundowran","Dundowran","Other Non-Metallic Mineral Mining and Quarrying",152.753,-25.2932,"Lower Mountain Road","BORAL RESOURCES (QLD) PTY LIMITED"
3,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587858","4670","46009671809","QLD","Q056BOL015","0990","2011/2012","Boral Quarries Innes Park","Innes Park","Other Non-Metallic Mineral Mining and Quarrying",152.468,-24.8758,"Windermere Road","BORAL RESOURCES (QLD) PTY LIMITED"
3,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587860","4403","46009671809","QLD","Q056BOL016","0990","2011/2012","Boral Quarries Malu","Malu","Other Non-Metallic Mineral Mining and Quarrying",151.567277,-27.340818,"Warrego Highway","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587880","4574","46009671809","QLD","Q056BOL017","0990","2011/2012","Boral Quarries Moy Pocket","Kenilworth","Other Non-Metallic Mineral Mining and Quarrying",152.733607,-26.559434,"Kenilworth Brooloo Road","BORAL RESOURCES (QLD) PTY LIMITED"
5,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587890","4825","46009671809","QLD","Q056BOL018","0990","2011/2012","Boral Quarries Mt Isa","Mt Isa","Other Non-Metallic Mineral Mining and Quarrying",139.52979,-20.659569,"Lake Moondarra Road","BORAL RESOURCES (QLD) PTY LIMITED"
15,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509636","4504","46009671809","QLD","Q056BOL005","0911","2002/2003","Boral Quarries Narangba","Narangba","Gravel and Sand Quarrying",152.883908,-27.176592,"Raynbird Rd","BORAL RESOURCES (QLD) PTY LIMITED"
13,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509648","4208","46009671809","QLD","Q056BOL008","0911","2003/2004","Boral Quarries Ormeau","Kingsholme","Gravel and Sand Quarrying",153.219363,-27.821889,"Upper Ormeau Road","BORAL RESOURCES (QLD) PTY LIMITED"
17,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509620","4503","46009671809","QLD","Q056BOL004","0911","2000/2001","Boral Quarries Petrie","Whiteside","Gravel and Sand Quarrying",152.906569,-27.239807,"DAYBORO RD","BORAL RESOURCES (QLD) PTY LIMITED"
12,"009671809","QLD",null,"Extraction of rock - crushing and screening","509664","4306","46009671809","QLD","Q056BOL010","0911","2005/2006","Boral Quarries Purga","Purga","Gravel and Sand Quarrying",152.746389,-27.752222,"T Morrows Road","BORAL RESOURCES (QLD) PTY LIMITED"
5,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587898","4870","46009671809","QLD","Q056BOL019","0990","2011/2012","Boral Quarries Redlynch","Redlynch","Other Non-Metallic Mineral Mining and Quarrying",145.685,-16.9272,"Redlynch Intake Road","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587900","4811","46009671809","QLD","Q056BOL020","0990","2011/2012","Boral Quarries Roseneath","Roseneath","Other Non-Metallic Mineral Mining and Quarrying",146.831045,-19.37162,"Flinders Highway","BORAL RESOURCES (QLD) PTY LIMITED"
13,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509602","4207","46009671809","QLD","Q056BOL003","0911","1999/2000","Boral Quarries Stapylton","Stapylton","Gravel and Sand Quarrying",153.255278,-27.735,"ROSSMAN RD","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587908","4881","46009671809","QLD","Q056BOL021","0990","2011/2012","Boral Quarries Tichum","Kuranda","Other Non-Metallic Mineral Mining and Quarrying",145.536,-16.9708,"Kennedy Highway","BORAL RESOURCES (QLD) PTY LIMITED"
4,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587912","4455","46009671809","QLD","Q056BOL022","0990","2011/2012","Boral Quarries Warrians","Roma","Other Non-Metallic Mineral Mining and Quarrying",148.886,-26.34,"Roma Taroom Road","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587914","4350","46009671809","QLD","Q056BOL023","0990","2011/2012","Boral Quarries Wellcamp Downs","Wellcamp","Other Non-Metallic Mineral Mining and Quarrying",151.825733,-27.0542219,"Toowoomba Cecil Plains Rd","BORAL RESOURCES (QLD) PTY LIMITED"
18,"009671809","QLD","http://www.boral.com.au","Extraction of rock - crushing and screening","509568","4220","46009671809","QLD","Q056BOL001","0911","1999/2000","Boral Quarries West Burleigh","West Burleigh","Gravel and Sand Quarrying",153.421389,-28.115278,"BERMUDA ST","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587916","4610","46009671809","QLD","Q056BOL024","0990","2011/2012","Boral Quarries Wondai","Ballogie","Other Non-Metallic Mineral Mining and Quarrying",151.533909,-26.351575,"Chinchilla Wondai Rd","BORAL RESOURCES (QLD) PTY LIMITED"
6,"009671809","QLD","http://www.boral.com.au","Extraction of rock, crushing, screening","587918","4208","46009671809","QLD","Q056BOL025","0990","2011/2012","Boral Quarries Yatala","Ormeau","Other Non-Metallic Mineral Mining and Quarrying",153.217,-27.7759,"Peachy Road","BORAL RESOURCES (QLD) PTY LIMITED"
